file_name,relative_path,pdf_path,title,family,document_type,project_role,line_name,frontline_status,status_reason,reading_priority,sequence_stage,upstream_dependency,downstream_target,benchmark_effect,short_description,current_use_rule,last_known_relevance
aether_flow_benchmark_one_metric_observer_package_upstream_compression_theorem.tex,manuscripts/active/tex/aether_flow_benchmark_one_metric_observer_package_upstream_compression_theorem.tex,manuscripts/active/pdf/aether_flow_benchmark_one_metric_observer_package_upstream_compression_theorem.pdf,Benchmark One-Metric Observer Package Upstream Compression Theorem,benchmark_gatekeeping,theorem,benchmark_gate,benchmark_gatekeeping_layer,active_supporting,Still controls a live derivation gate or benchmark-facing routing decision.,routing,benchmark_gate_04_upstream_compression,benchmark exact-closure package and settled observer-side closure record,primitive-reservoir main-line routing or benchmark-facing gate review,Changes benchmark-facing routing by settling a gate or moving the burden upstream.,Compresses benchmark-facing derivational status to the fixed observer-relevant core and blocks same-output deeper-origin relays from counting as new front-line progress.,"Consult before summarizing project state, naming the current main line, or recommending the next benchmark-facing step.",2026-04-01 routing audit
aether_flow_consistency.tex,manuscripts/active/tex/aether_flow_consistency.tex,manuscripts/active/pdf/aether_flow_consistency.pdf,Consistency,exact_closure,consistency,flagship_package,benchmark_exact_closure_package,front_door,Flagship exact-closure package file; default public entry or core benchmark component.,front_door,front_door_05_consistency,previous benchmark exact-closure package file,next benchmark exact-closure package file,Fixes the public benchmark exact-closure package.,Records the internal consistency discipline of the benchmark package and stabilizes the exact-closure claim boundary.,Read before any derivational manuscript or repository-level summary.,2026-04-01 routing audit
aether_flow_dynamics.tex,manuscripts/active/tex/aether_flow_dynamics.tex,manuscripts/active/pdf/aether_flow_dynamics.pdf,Dynamics,exact_closure,dynamics,flagship_package,benchmark_exact_closure_package,front_door,Flagship exact-closure package file; default public entry or core benchmark component.,front_door,front_door_04_dynamics,previous benchmark exact-closure package file,next benchmark exact-closure package file,Fixes the public benchmark exact-closure package.,States the adopted exact relativistic dynamics of the benchmark package and keeps the operational GR sector fixed.,Read before any derivational manuscript or repository-level summary.,2026-04-01 routing audit
aether_flow_exact_closure_derivation_gates_note.tex,manuscripts/active/tex/aether_flow_exact_closure_derivation_gates_note.tex,manuscripts/active/pdf/aether_flow_exact_closure_derivation_gates_note.pdf,Exact-Closure Derivation Gates Note,benchmark_gatekeeping,note,benchmark_gate,benchmark_gatekeeping_layer,active_supporting,Still controls a live derivation gate or benchmark-facing routing decision.,routing,benchmark_gate_01_derivation_gates,benchmark exact-closure package and settled observer-side closure record,primitive-reservoir main-line routing or benchmark-facing gate review,Changes benchmark-facing routing by settling a gate or moving the burden upstream.,Records the benchmark derivation gates that any honest substrate derivation must satisfy and therefore fixes the routing standard for later work.,"Consult before summarizing project state, naming the current main line, or recommending the next benchmark-facing step.",2026-04-01 routing audit
aether_flow_exact_closure_flagship_article.tex,manuscripts/active/tex/aether_flow_exact_closure_flagship_article.tex,manuscripts/active/pdf/aether_flow_exact_closure_flagship_article.pdf,Exact-Closure Flagship Article,public_facing,article,flagship_package,benchmark_exact_closure_package,front_door,Flagship exact-closure package file; default public entry or core benchmark component.,front_door,front_door_08_flagship_article,previous benchmark exact-closure package file,public-facing benchmark package summary,Fixes the public benchmark exact-closure package.,Packages the benchmark exact-closure sequence as the public flagship article and does not depend on a completed substrate derivation.,Read before any derivational manuscript or repository-level summary.,2026-04-01 routing audit
aether_flow_exact_closure_note.tex,manuscripts/active/tex/aether_flow_exact_closure_note.tex,manuscripts/active/pdf/aether_flow_exact_closure_note.pdf,Exact-Closure Note,exact_closure,note,flagship_package,benchmark_exact_closure_package,front_door,Flagship exact-closure package file; default public entry or core benchmark component.,front_door,front_door_02_anchor,previous benchmark exact-closure package file,next benchmark exact-closure package file,Fixes the public benchmark exact-closure package.,States the standalone exact-closure benchmark claim boundary and keeps the positive effective theory statement fixed.,Read before any derivational manuscript or repository-level summary.,2026-04-01 routing audit
aether_flow_exact_closure_post_bridge_derivation_gate_status_note.tex,manuscripts/active/tex/aether_flow_exact_closure_post_bridge_derivation_gate_status_note.tex,manuscripts/active/pdf/aether_flow_exact_closure_post_bridge_derivation_gate_status_note.pdf,Post-Bridge Derivation-Gate Status Note,benchmark_gatekeeping,note,benchmark_routing,benchmark_gatekeeping_layer,active_supporting,Still controls a live derivation gate or benchmark-facing routing decision.,routing,benchmark_gate_03_post_bridge_status,benchmark exact-closure package and settled observer-side closure record,primitive-reservoir main-line routing or benchmark-facing gate review,Changes benchmark-facing routing by settling a gate or moving the burden upstream.,Records that same-package observer-side closure is settled on the active branch and shifts the remaining honest burden upstream.,"Consult before summarizing project state, naming the current main line, or recommending the next benchmark-facing step.",2026-04-01 routing audit
aether_flow_exact_closure_sequence_overview.tex,manuscripts/active/tex/aether_flow_exact_closure_sequence_overview.tex,manuscripts/active/pdf/aether_flow_exact_closure_sequence_overview.pdf,Exact-Closure Sequence Overview,exact_closure,overview,flagship_package,benchmark_exact_closure_package,front_door,Flagship exact-closure package file; default public entry or core benchmark component.,front_door,front_door_01_overview,none; canonical public entry point,next benchmark exact-closure package file,Fixes the public benchmark exact-closure package.,"Presents the benchmark exact-closure package, fixes the public reading order, and serves as the canonical front door of the repository.",Read before any derivational manuscript or repository-level summary.,2026-04-01 routing audit
aether_flow_foundations.tex,manuscripts/active/tex/aether_flow_foundations.tex,manuscripts/active/pdf/aether_flow_foundations.pdf,Foundations,exact_closure,foundations,flagship_package,benchmark_exact_closure_package,front_door,Flagship exact-closure package file; default public entry or core benchmark component.,front_door,front_door_03_foundations,previous benchmark exact-closure package file,next benchmark exact-closure package file,Fixes the public benchmark exact-closure package.,Defines the ontological and formal foundations of the benchmark exact-closure package without reopening the adopted Einsteinian law.,Read before any derivational manuscript or repository-level summary.,2026-04-01 routing audit
aether_flow_geometry.tex,manuscripts/active/tex/aether_flow_geometry.tex,manuscripts/active/pdf/aether_flow_geometry.pdf,Flow Geometry,exact_closure,geometry,flagship_package,benchmark_exact_closure_package,front_door,Flagship exact-closure package file; default public entry or core benchmark component.,front_door,front_door_07_geometry,previous benchmark exact-closure package file,next benchmark exact-closure package file,Fixes the public benchmark exact-closure package.,Interprets the exact GR geometry through the Æther-flow picture without changing the adopted benchmark law.,Read before any derivational manuscript or repository-level summary.,2026-04-01 routing audit
